"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 06 09:48:24 GMT+08:00 2023","Wed Sep 06 09:48:24 GMT+08:00 2023","209","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SZHK",""
"passed","Wed Sep 06 09:48:35 GMT+08:00 2023","Wed Sep 06 09:48:35 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_fz_G10053",""
"passed","Wed Sep 06 09:48:27 GMT+08:00 2023","Wed Sep 06 09:48:27 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SH9004",""
"passed","Wed Sep 06 09:48:20 GMT+08:00 2023","Wed Sep 06 09:48:20 GMT+08:00 2023","10","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700784",""
"passed","Wed Sep 06 09:48:27 GMT+08:00 2023","Wed Sep 06 09:48:27 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_610100",""
"passed","Wed Sep 06 09:48:31 GMT+08:00 2023","Wed Sep 06 09:48:31 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001361",""
"passed","Wed Sep 06 09:48:27 GMT+08:00 2023","Wed Sep 06 09:48:27 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000420",""
"passed","Wed Sep 06 09:49:11 GMT+08:00 2023","Wed Sep 06 09:49:11 GMT+08:00 2023","14","txtCompare","test_txt","TxtCompareTest","","","BanKuai_2360",""
"passed","Wed Sep 06 09:48:21 GMT+08:00 2023","Wed Sep 06 09:48:21 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_C20",""
"passed","Wed Sep 06 09:48:34 GMT+08:00 2023","Wed Sep 06 09:48:35 GMT+08:00 2023","487","txtCompare","test_txt","TxtCompareTest","","","BanKuai_HKSGT",""
