"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 15:50:27 GMT+08:00 2023","Mon Sep 11 15:50:27 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_fz_G10052",""
"passed","Mon Sep 11 15:50:32 GMT+08:00 2023","Mon Sep 11 15:50:32 GMT+08:00 2023","21","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001540",""
"passed","Mon Sep 11 15:50:26 GMT+08:00 2023","Mon Sep 11 15:50:26 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_799998",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","9","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700977",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730279",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730268",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700613",""
"passed","Mon Sep 11 15:50:26 GMT+08:00 2023","Mon Sep 11 15:50:26 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_B06",""
"passed","Mon Sep 11 15:50:34 GMT+08:00 2023","Mon Sep 11 15:50:34 GMT+08:00 2023","10","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880030",""
"passed","Mon Sep 11 15:51:10 GMT+08:00 2023","Mon Sep 11 15:51:10 GMT+08:00 2023","516","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SZ2011",""
"passed","Mon Sep 11 15:50:34 GMT+08:00 2023","Mon Sep 11 15:50:34 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_881020",""
"passed","Mon Sep 11 15:50:26 GMT+08:00 2023","Mon Sep 11 15:50:26 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_C23",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730427",""
"passed","Mon Sep 11 15:50:31 GMT+08:00 2023","Mon Sep 11 15:50:31 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001367",""
"passed","Mon Sep 11 15:50:31 GMT+08:00 2023","Mon Sep 11 15:50:31 GMT+08:00 2023","13","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001321",""
"passed","Mon Sep 11 15:51:15 GMT+08:00 2023","Mon Sep 11 15:51:15 GMT+08:00 2023","21","txtCompare","test_txt","TxtCompareTest","","","BanKuai_1020",""
"passed","Mon Sep 11 15:50:32 GMT+08:00 2023","Mon Sep 11 15:50:32 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001444",""
"passed","Mon Sep 11 15:50:33 GMT+08:00 2023","Mon Sep 11 15:50:33 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001636",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730094",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700941",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700897",""
"passed","Mon Sep 11 15:50:24 GMT+08:00 2023","Mon Sep 11 15:50:24 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700729",""
"passed","Mon Sep 11 15:50:28 GMT+08:00 2023","Mon Sep 11 15:50:28 GMT+08:00 2023","15","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw1_650000",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730065",""
"passed","Mon Sep 11 15:50:26 GMT+08:00 2023","Mon Sep 11 15:50:26 GMT+08:00 2023","13","txtCompare","test_txt","TxtCompareTest","","","BanKuai_fz_G10030",""
"passed","Mon Sep 11 15:50:32 GMT+08:00 2023","Mon Sep 11 15:50:32 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001446",""
"passed","Mon Sep 11 15:50:33 GMT+08:00 2023","Mon Sep 11 15:50:33 GMT+08:00 2023","8","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001648",""
"passed","Mon Sep 11 15:50:25 GMT+08:00 2023","Mon Sep 11 15:50:25 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701135",""
"passed","Mon Sep 11 15:50:27 GMT+08:00 2023","Mon Sep 11 15:50:27 GMT+08:00 2023","13","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw1_340000",""
