"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 10:05:15 GMT+08:00 2023","Thu Sep 07 10:05:15 GMT+08:00 2023","8","txtCompare","test_txt","TxtCompareTest","","","BanKuai_CN140000",""
"passed","Thu Sep 07 10:06:05 GMT+08:00 2023","Thu Sep 07 10:06:05 GMT+08:00 2023","29","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700008",""
"passed","Thu Sep 07 10:05:25 GMT+08:00 2023","Thu Sep 07 10:05:25 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001283",""
"passed","Thu Sep 07 10:05:24 GMT+08:00 2023","Thu Sep 07 10:05:24 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001266",""
"passed","Thu Sep 07 10:05:20 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_340600",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730300",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730357",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","9","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700958",""
"passed","Thu Sep 07 10:05:19 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","17","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw1_650000",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001653",""
"passed","Thu Sep 07 10:05:24 GMT+08:00 2023","Thu Sep 07 10:05:24 GMT+08:00 2023","39","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001265",""
"passed","Thu Sep 07 10:05:15 GMT+08:00 2023","Thu Sep 07 10:05:15 GMT+08:00 2023","12","txtCompare","test_txt","TxtCompareTest","","","BanKuai_BKH1",""
"passed","Thu Sep 07 10:05:22 GMT+08:00 2023","Thu Sep 07 10:05:22 GMT+08:00 2023","44","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000716",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_7030",""
"passed","Thu Sep 07 10:05:20 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_330200",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_D45",""
"passed","Thu Sep 07 10:05:12 GMT+08:00 2023","Thu Sep 07 10:05:12 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701024",""
"passed","Thu Sep 07 10:05:20 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","2","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_330700",""
"passed","Thu Sep 07 10:05:18 GMT+08:00 2023","Thu Sep 07 10:05:18 GMT+08:00 2023","13","txtCompare","test_txt","TxtCompareTest","","","BanKuai_fz_G10009",""
"passed","Thu Sep 07 10:05:39 GMT+08:00 2023","Thu Sep 07 10:05:39 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000310",""
"passed","Thu Sep 07 10:05:25 GMT+08:00 2023","Thu Sep 07 10:05:25 GMT+08:00 2023","326","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SHSZ10013",""
"passed","Thu Sep 07 10:05:15 GMT+08:00 2023","Thu Sep 07 10:05:15 GMT+08:00 2023","2","txtCompare","test_txt","TxtCompareTest","","","BanKuai_G53",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730076",""
"passed","Thu Sep 07 10:05:25 GMT+08:00 2023","Thu Sep 07 10:05:25 GMT+08:00 2023","17","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001302",""
"failed","Thu Sep 07 10:05:21 GMT+08:00 2023","Thu Sep 07 10:05:21 GMT+08:00 2023","41","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SH1110",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880015",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","6","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700225",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_799998",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","11","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700790",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","93","txtCompare","test_txt","TxtCompareTest","","","BanKuai_Notion",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880003",""
"failed","Thu Sep 07 10:05:20 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","299","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SH11",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730095",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730288",""
"failed","Thu Sep 07 10:05:53 GMT+08:00 2023","Thu Sep 07 10:05:58 GMT+08:00 2023","5182","txtCompare","test_txt","TxtCompareTest","","","AllStock_sz",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701078",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_J66",""
"passed","Thu Sep 07 10:05:28 GMT+08:00 2023","Thu Sep 07 10:05:28 GMT+08:00 2023","7","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001585",""
"passed","Thu Sep 07 10:05:39 GMT+08:00 2023","Thu Sep 07 10:05:39 GMT+08:00 2023","16","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001000169",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","8","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001649",""
"passed","Thu Sep 07 10:05:21 GMT+08:00 2023","Thu Sep 07 10:05:21 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_SHHGTTRST",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","17","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_880017",""
"passed","Thu Sep 07 10:05:29 GMT+08:00 2023","Thu Sep 07 10:05:29 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_szyp_5001001644",""
"passed","Thu Sep 07 10:05:14 GMT+08:00 2023","Thu Sep 07 10:05:14 GMT+08:00 2023","3","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730196",""
"passed","Thu Sep 07 10:06:06 GMT+08:00 2023","Thu Sep 07 10:06:06 GMT+08:00 2023","22","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700127",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_730261",""
"passed","Thu Sep 07 10:05:20 GMT+08:00 2023","Thu Sep 07 10:05:20 GMT+08:00 2023","8","txtCompare","test_txt","TxtCompareTest","","","BanKuai_sw_360300",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","4","txtCompare","test_txt","TxtCompareTest","","","BanKuai_700894",""
"passed","Thu Sep 07 10:05:13 GMT+08:00 2023","Thu Sep 07 10:05:13 GMT+08:00 2023","5","txtCompare","test_txt","TxtCompareTest","","","BanKuai_701193",""
